,prodouct name,prices,description,rating
0,"Samsung Galaxy F07 (Green, 64 GB)","₹6,799",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G99 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2
1,"POCO C71 (Power Black, 64 GB)","₹6,199","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",3.8
2,"POCO C71 (Cool Blue, 64 GB)","₹6,199","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",3.8
3,"POCO M7 Pro 5G (Lunar Dust, 128 GB)","₹12,499",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
4,"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,4.2
5,"realme P3 Lite 5G Charger in the Box (Purple Blossom, 128 GB)","₹10,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display32MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
6,"POCO C71 (Desert Gold, 128 GB)","₹6,799","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",4.1
7,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)","₹12,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
8,"realme C71 (Sea Blue, 64 GB)","₹7,155",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
9,"realme C61 (Marble Black, 64 GB)","₹6,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
